t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0169546,-0.0390625,-0.152344,9.76562,0,0,0,1,0,0,0
0.0449097,-0.0390625,-0.152344,9.76562,0.00390625,0,-0.00195312,1,0,0,0
0.0695582,-1.23438,-1.35938,-1.21484,0.00390625,0,-0.00195312,1,0,0,0
0.0968256,-1.23438,-1.35938,-1.21484,-0.0117188,-0.00976562,-0.00585938,1,0,0,0
0.12142,0,-0.0390625,9.73047,-0.0117188,-0.00976562,-0.00585938,1,0,0,0
0.14872,-0.164062,0.0585938,0.0117188,-0.0117188,-0.00976562,-0.00585938,1,0,0,0
0.175493,-0.164062,0.0585938,0.0117188,0,0,-0.00195312,1,0,0,0
0.203018,0,-0.113281,9.76562,0,0,-0.00195312,1,0,0,0
0.229441,0,-0.113281,9.76562,0,0,-0.00390625,1,0,0,0
0.257947,0,-0.152344,9.80469,0,0,-0.00390625,1,0,0,0
0.284667,0,-0.152344,9.80469,0,0,0,1,0,0,0
0.312261,0,-0.113281,9.80469,0,0,0,1,0,0,0
0.339336,0,-0.113281,9.80469,0,0.00195312,-0.00195312,1,0,0,0
0.368258,0,-0.113281,9.80469,0.00195312,0.00195312,0.00195312,1,0,0,0
0.395326,-0.0390625,-0.113281,9.80469,0.00195312,0.00195312,0.00195312,1,0,0,0
0.421366,-0.0390625,-0.113281,9.76562,0.00195312,0.00195312,0.00195312,1,0,0,0
0.449892,-0.0390625,-0.113281,9.76562,0,0,0,1,0,0,0
0.476982,-0.0390625,-0.113281,9.76562,0,0,0,1,0,0,0
0.504471,-0.0390625,-0.152344,9.73047,0,0,0,1,0,0,0
0.530891,-0.015625,-0.0429688,-0.0273438,0,0,0,1,0,0,0
0.559056,-0.015625,-0.0429688,-0.0273438,0.0078125,0.00390625,0,1,0,0,0
0.586248,0,-0.113281,9.76562,0.0078125,0.00390625,0,1,0,0,0
0.612267,0,-0.113281,9.76562,0.015625,0.0136719,0,1,0,0,0
0.640772,0,-0.113281,9.76562,0.0078125,0.00976562,0,1,0,0,0
0.667804,0,-0.113281,9.76562,0.00390625,0.00195312,0.00195312,1,0,0,0
0.696908,0,-0.230469,9.84375,0.00390625,0.00195312,0.00195312,1,0,0,0
0.723704,-0.113281,-0.1875,0.0546875,0.00390625,0.00195312,0.00195312,1,0,0,0
0.75125,-0.113281,-0.1875,0.0546875,-0.00195312,0.00195312,0.0527344,1,0,0,0
0.778336,-0.113281,-0.1875,0.0546875,-0.0117188,-0.00585938,0,1,0,0,0
0.807214,-0.113281,-0.1875,0.0546875,-0.00976562,-0.00585938,-0.0800781,1,0,0,0
