t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0320973,0.0390625,-0.191406,9.6875,0,0,0,1,0,0,0
0.0472554,0,-0.230469,9.76953,0,0,0,1,0,0,0
0.0637358,0.0390625,-0.230469,9.76953,0,0,0,1,0,0,0
0.0790945,0,-0.191406,9.6875,0,0,0,1,0,0,0
0.110675,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.145292,0.0390625,-0.191406,9.72656,0,0.00195312,0.00195312,1,0,0,0
0.182581,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.205183,0.0390625,-0.191406,9.76953,0,0,0,1,0,0,0
0.231451,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.259949,0.0390625,-0.191406,9.72656,-0.00195312,-0.00195312,0,1,0,0,0
0.287014,0.0390625,-0.191406,9.72656,0.00195312,0,0,1,0,0,0
0.313077,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.341918,0.0390625,-0.191406,9.72656,0,-0.00195312,0,1,0,0,0
0.369209,0.0390625,-0.191406,9.72656,0,-0.00195312,0,1,0,0,0
0.397776,0.0390625,-0.191406,9.72656,0,-0.00195312,0,1,0,0,0
0.4238,0,-0.191406,9.72656,0,-0.00195312,0,1,0,0,0
0.451647,0.015625,0.00390625,0.0273438,0,-0.00195312,0,1,0,0,0
0.478703,0.015625,0.00390625,0.0273438,-0.00195312,0,0,1,0,0,0
0.506221,0.015625,0.00390625,0.0273438,0,0,-0.00195312,1,0,0,0
0.532238,0.0390625,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
0.560883,0.0390625,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
0.587973,0.0390625,-0.191406,9.72656,0.00390625,0,-0.00195312,1,0,0,0
0.615564,0.0390625,-0.191406,9.72656,0,-0.00195312,0,1,0,0,0
0.641614,0.0390625,-0.191406,9.72656,0,-0.00195312,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.670417,0.0390625,-0.191406,9.72656,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.697594,0,-0.191406,9.76953,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.72515,0.0390625,-0.191406,9.72656,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.751706,-0.0234375,0.00390625,-0.0117188,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.780294,-0.0234375,0.00390625,-0.0117188,0,-0.00195312,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.806885,-0.0234375,0.00390625,-0.0117188,0,0,0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.832807,0.0390625,-0.191406,9.76953,0,0,0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.858047,0.0390625,-0.191406,9.76953,-0.00195312,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.883931,0,-0.191406,9.72656,-0.00195312,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.909034,-0.0234375,0.00390625,-0.0117188,-0.00195312,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.937385,-0.0234375,0.00390625,-0.0117188,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.963441,0.0390625,-0.191406,9.76953,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
0.991538,0.0234375,0.00390625,-0.0117188,0,0,-0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.01864,0.0234375,0.00390625,-0.0117188,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.04615,0.0234375,0.00390625,-0.0117188,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.0722,0,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.101,0,-0.191406,9.76953,0,0,0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.12787,0,-0.191406,9.76953,0,0,0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.156,0.0390625,-0.191406,9.72656,0,0,0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.18207,-0.015625,-0.00390625,0.0195312,0,0,0.00195312,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.21063,-0.015625,-0.00390625,0.0195312,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.2377,-0.015625,-0.00390625,0.0195312,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.26518,0,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.29158,-0.015625,0.00390625,-0.0195312,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.3195,0.0390625,-0.152344,9.73047,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.34674,0.0390625,-0.152344,9.73047,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.37278,0.0390625,-0.152344,9.73047,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.4013,0.0390625,-0.152344,9.73047,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.42855,0.0390625,-0.152344,9.73047,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.45719,0.0390625,-0.191406,9.72656,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.48323,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.51175,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.53882,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.56704,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.59309,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.62214,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.64857,0.0390625,-0.191406,9.72656,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.67664,0.0390625,-0.191406,9.72656,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.70267,-0.015625,-0.00390625,0.0195312,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
1.73121,-0.015625,-0.00390625,0.0195312,0,0,0,0.999939,-0.0100098,-0.00183105,-6.10352e-05
