t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0330557,6.74219,-0.804688,7.54688,0,0,0,1,0,0,0
0.0474783,6.58984,-0.804688,7.3125,0,0,0,1,0,0,0
0.0635042,6.62891,-0.917969,6.89062,0,0,0,1,0,0,0
0.0788835,7.23828,-0.726562,6.55078,0,0,0,1,0,0,0
0.110359,7.58984,0.113281,6.97266,0,0,0,1,0,0,0
0.146179,7.58984,0.113281,6.97266,-0.201172,0.0292969,0.0820312,1,0,0,0
0.182988,7.58984,0.113281,6.97266,-0.351562,0.0800781,0.199219,1,0,0,0
0.203295,7.58984,0.113281,6.97266,-0.462891,0.173828,-0.125,1,0,0,0
0.227305,7.58984,0.113281,6.97266,-0.429688,0.132812,0.00976562,1,0,0,0
0.253337,7.58984,0.113281,6.97266,-0.400391,0.292969,0.00195312,1,0,0,0
0.280495,7.58984,0.113281,6.97266,-0.400391,0.292969,0.00195312,0.92395,-0.026062,-0.381592,-0.00897217
0.309508,7.58984,0.113281,6.97266,-0.289062,0.177734,-0.158203,0.92395,-0.026062,-0.381592,-0.00897217
0.336008,5.28516,-1.14844,7.55078,-0.289062,0.177734,-0.158203,0.92395,-0.026062,-0.381592,-0.00897217
0.361592,7.31641,0,7.58984,-0.289062,0.177734,-0.158203,0.92395,-0.026062,-0.381592,-0.00897217
0.388529,7.31641,0,7.58984,0.046875,-0.0410156,-0.363281,0.92395,-0.026062,-0.381592,-0.00897217
0.413768,7.31641,0,7.58984,-0.386719,0.105469,0.267578,0.92395,-0.026062,-0.381592,-0.00897217
0.440077,6.08984,-1.33984,7.54688,-0.386719,0.105469,0.267578,0.92395,-0.026062,-0.381592,-0.00897217
0.465932,6.08984,-1.33984,7.54688,-0.414062,-0.169922,-0.101562,0.92395,-0.026062,-0.381592,-0.00897217
0.492084,6.74609,-1.76172,5.70703,-0.414062,-0.169922,-0.101562,0.92395,-0.026062,-0.381592,-0.00897217
0.520681,6.74609,-1.76172,5.70703,0.380859,-0.214844,-0.296875,0.92395,-0.026062,-0.381592,-0.00897217
0.547807,6.74609,-1.76172,5.70703,0.134766,-0.205078,0.144531,0.92395,-0.026062,-0.381592,-0.00897217
0.57399,6.70312,-0.882812,7.89453,0.134766,-0.205078,0.144531,0.92395,-0.026062,-0.381592,-0.00897217
0.598982,0.785156,0.277344,0.328125,0.134766,-0.205078,0.144531,0.92395,-0.026062,-0.381592,-0.00897217
0.626312,6.89453,-0.382812,6.89453,0.134766,-0.205078,0.144531,0.92395,-0.026062,-0.381592,-0.00897217
0.650931,6.82422,-1.26562,6.47266,0.134766,-0.205078,0.144531,0.92395,-0.026062,-0.381592,-0.00897217
0.679449,6.82422,-1.26562,6.47266,-0.0195312,-0.162109,-0.160156,0.92395,-0.026062,-0.381592,-0.00897217
0.706138,7.16406,-0.304688,6.47266,-0.0195312,-0.162109,-0.160156,0.92395,-0.026062,-0.381592,-0.00897217
0.733597,7.62891,-0.421875,6.35938,-0.0195312,-0.162109,-0.160156,0.92395,-0.026062,-0.381592,-0.00897217
0.760303,7.62891,-0.421875,6.35938,-0.0742188,0.0234375,-0.132812,0.92395,-0.026062,-0.381592,-0.00897217
0.78887,7.16406,-0.84375,6.24219,-0.0742188,0.0234375,-0.132812,0.92395,-0.026062,-0.381592,-0.00897217
0.815552,7.16406,-0.84375,6.24219,0.203125,-0.177734,-0.0175781,0.92395,-0.026062,-0.381592,-0.00897217
