t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0313806,-0.078125,-0.230469,9.72656,0,0,0,1,0,0,0
0.053106,-0.0390625,-0.230469,9.72656,0,0,0,1,0,0,0
0.0674895,-0.078125,-0.230469,9.72656,0,0,0,1,0,0,0
0.0811228,-0.078125,-0.230469,9.80859,0,0,0,1,0,0,0
0.112619,-0.078125,-0.230469,9.72656,0,0,0,1,0,0,0
0.153368,-0.078125,-0.230469,9.72656,0,0.00195312,0,1,0,0,0
0.187707,-0.0234375,0.0195312,0.0195312,0,0.00195312,0,1,0,0,0
0.212092,0.015625,0.0195312,-0.0273438,0,0.00195312,0,1,0,0,0
0.24232,0.015625,0.0195312,-0.0273438,0,0.00195312,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.268193,-0.078125,-0.269531,9.76562,0,0.00195312,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.298008,-0.078125,-0.230469,9.76953,0,0.00195312,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.3223,-0.015625,0.0117188,-0.0273438,0,0.00195312,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.352233,-0.015625,0.0117188,0.0195312,0,0.00195312,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.377854,-0.015625,0.0117188,0.0195312,-0.00390625,0,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.407063,-0.015625,0.0117188,0.0195312,-0.00195312,0.00195312,0.00195312,0.999939,-0.0115967,0.00402832,6.10352e-05
0.431745,-0.015625,0.0117188,0.0195312,-0.00195312,0.00195312,0.00195312,0.999939,-0.0115967,0.00402832,6.10352e-05
0.462036,-0.015625,0.0117188,0.0195312,0,-0.00195312,0.00195312,0.999939,-0.0115967,0.00402832,6.10352e-05
0.487724,-0.015625,0.0117188,0.0195312,-0.00195312,-0.00195312,0,0.999939,-0.0115967,0.00402832,6.10352e-05
0.5153,-0.015625,0.0117188,0.0195312,0,0,-0.00976562,0.999939,-0.0115967,0.00402832,6.10352e-05
0.541848,-0.015625,0.0117188,0.0195312,0,0,-0.00976562,0.999939,-0.0117188,0.00396729,-0.000305176
0.570515,-0.015625,0.0117188,0.0195312,0,-0.00195312,-0.0527344,0.999939,-0.0117188,0.00396729,-0.000305176
0.597006,-0.152344,-0.460938,9.76562,0,-0.00195312,-0.0527344,0.999939,-0.0117188,0.00396729,-0.000305176
0.62315,-0.113281,-0.304688,9.76953,0,-0.00195312,-0.0527344,0.999939,-0.0117188,0.00396729,-0.000305176
0.650369,-0.113281,-0.304688,9.76953,0,0,-0.0507812,0.999939,-0.0117188,0.00396729,-0.000305176
0.676067,-0.113281,-0.304688,9.76953,-0.00195312,0,-0.0429688,0.999939,-0.0117188,0.00396729,-0.000305176
