t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0183167,0,0,0,-0.00195312,0.00195312,0,1,0,0,0
0.0446758,0.113281,-0.34375,9.80469,-0.00195312,0.00195312,0,1,0,0,0
0.0719339,0.113281,-0.34375,9.80469,0,0,0,1,0,0,0
0.0969822,0.0390625,-0.191406,9.76953,0,0,0,1,0,0,0
0.12155,0.0390625,-0.191406,9.80859,0,0,0,1,0,0,0
0.148479,0.0390625,-0.191406,9.80859,0,0,0,1,0,0,0
0.174585,0.0390625,-0.230469,9.76953,0,0,0,1,0,0,0
0.203469,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.230152,0.0390625,-0.191406,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.257661,0.0390625,-0.230469,9.80859,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.283684,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.312216,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.339319,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.367444,0.0390625,-0.230469,9.80859,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.393493,0,-0.0117188,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.422,0,-0.0117188,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.44906,0,-0.0117188,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.475095,0,-0.0117188,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.503245,0,-0.0117188,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.529909,0,-0.0117188,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.558002,0.0390625,-0.230469,9.80859,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.584125,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.612696,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.639767,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.667844,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.693898,0.03125,0.0273438,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.721732,0.03125,0.0273438,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.748791,0.03125,0.0273438,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.776256,0.03125,0.0273438,0.0273438,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.802401,0,-0.0117188,-0.00390625,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.830802,0,-0.0117188,-0.00390625,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.857887,0.0390625,-0.191406,9.80859,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.88396,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.91255,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.93959,0.0390625,-0.230469,9.76953,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.967059,-0.152344,-2.29688,9.80469,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
0.993113,-0.308594,-0.777344,-0.0117188,0,0,0,0.999939,-0.0113525,-0.00219727,-0.00384521
1.02131,-0.308594,-0.777344,-0.0117188,-0.00390625,0.00585938,-0.234375,0.999939,-0.0113525,-0.00219727,-0.00384521
1.04835,0.269531,-0.191406,9.76953,-0.00390625,0.00585938,-0.234375,0.999939,-0.0113525,-0.00219727,-0.00384521
1.07441,0.269531,-0.191406,9.76953,-0.00976562,0.0078125,-0.125,0.999939,-0.0113525,-0.00219727,-0.00384521
1.10292,0.269531,-0.191406,9.76953,-0.0078125,-0.00195312,0.367188,0.999939,-0.0113525,-0.00219727,-0.00384521
1.12996,0.269531,-0.191406,9.76953,0.0078125,-0.0078125,0.339844,0.999939,-0.0113525,-0.00219727,-0.00384521
1.15807,-0.34375,-0.765625,9.80859,0.0078125,-0.0078125,0.339844,0.999939,-0.0113525,-0.00219727,-0.00384521
1.18425,-0.269531,-0.996094,9.76562,0.0078125,-0.0078125,0.339844,0.999939,-0.0113525,-0.00219727,-0.00384521
1.21281,-0.269531,-0.996094,9.76562,0.0078125,-0.00390625,-0.126953,0.999939,-0.0113525,-0.00219727,-0.00384521
1.23988,-0.269531,-0.996094,9.76562,-0.00585938,0,-0.160156,0.999939,-0.0113525,-0.00219727,-0.00384521
1.268,-0.269531,-0.996094,9.76562,-0.00390625,0.00195312,-0.197266,0.999939,-0.0113525,-0.00219727,-0.00384521
1.29407,0.0820312,0.480469,-0.0117188,-0.00390625,0.00195312,-0.197266,0.999939,-0.0113525,-0.00219727,-0.00384521
1.32245,0.0820312,0.480469,-0.0117188,0.00585938,0.0078125,-0.189453,0.999939,-0.0113525,-0.00219727,-0.00384521
1.34958,0.230469,-1.10938,9.76562,0.00585938,0.0078125,-0.189453,0.999939,-0.0113525,-0.00219727,-0.00384521
1.37705,-0.496094,-0.113281,9.80469,0.00585938,0.0078125,-0.189453,0.999939,-0.0113525,-0.00219727,-0.00384521
1.40327,-0.144531,0.804688,-0.00390625,0.00585938,0.0078125,-0.189453,0.999939,-0.0113525,-0.00219727,-0.00384521
1.43176,-0.144531,0.804688,-0.00390625,0.00585938,0,-0.167969,0.999939,-0.0113525,-0.00219727,-0.00384521
1.4586,-0.0390625,-1.87891,9.88672,0.00585938,0,-0.167969,0.999939,-0.0113525,-0.00219727,-0.00384521
1.48462,0.0390625,-0.0390625,9.76562,0.00585938,0,-0.167969,0.999939,-0.0113525,-0.00219727,-0.00384521
1.5125,0.0390625,-0.0390625,9.76562,-0.0078125,0.00390625,0.105469,0.999939,-0.0113525,-0.00219727,-0.00384521
1.53959,0.0390625,-0.0390625,9.76562,-0.00390625,0.00390625,0.103516,0.999939,-0.0113525,-0.00219727,-0.00384521
1.56709,0.0390625,-0.0390625,9.76562,-0.00390625,0,0.00976562,0.999939,-0.0113525,-0.00219727,-0.00384521
1.59314,-0.03125,-0.160156,-0.0117188,-0.00390625,0,0.00976562,0.999939,-0.0113525,-0.00219727,-0.00384521
1.62153,-0.03125,-0.160156,-0.0117188,0.00390625,0,-0.103516,0.999939,-0.0113525,-0.00219727,-0.00384521
1.64863,0.0390625,0.421875,9.80859,0.00390625,0,-0.103516,0.999939,-0.0113525,-0.00219727,-0.00384521
1.67609,0.230469,-0.382812,9.80859,0.00390625,0,-0.103516,0.999939,-0.0113525,-0.00219727,-0.00384521
1.70254,0.230469,-0.382812,9.80859,0.00390625,0,-0.103516,0.999756,-0.0150757,-0.00152588,-0.015625
1.73106,0.230469,-0.382812,9.80859,-0.00195312,0.00195312,-0.181641,0.999756,-0.0150757,-0.00152588,-0.015625
1.75798,-0.230469,-0.304688,9.76562,-0.00195312,0.00195312,-0.181641,0.999756,-0.0150757,-0.00152588,-0.015625
1.78404,-0.113281,-0.152344,9.80469,-0.00195312,0.00195312,-0.181641,0.999756,-0.0150757,-0.00152588,-0.015625
1.81189,-0.113281,-0.152344,9.80469,-0.00976562,0.00390625,-0.0332031,0.999756,-0.0150757,-0.00152588,-0.015625
1.83895,-0.113281,-0.152344,9.80469,-0.00585938,0.00195312,-0.0625,0.999756,-0.0150757,-0.00152588,-0.015625
1.865,-0.113281,-0.152344,9.80469,-0.00390625,0,-0.0566406,0.999756,-0.0150757,-0.00152588,-0.015625
1.89297,-0.113281,-0.152344,9.80469,-0.00390625,0.00195312,-0.210938,0.999756,-0.0150757,-0.00152588,-0.015625
1.91969,-0.113281,-0.152344,9.80469,-0.00195312,0.00390625,-0.210938,0.999756,-0.0150757,-0.00152588,-0.015625
1.94834,0.078125,0.652344,9.80469,-0.00195312,0.00390625,-0.210938,0.999756,-0.0150757,-0.00152588,-0.015625
1.97444,0.121094,1.14844,0.0273438,-0.00195312,0.00390625,-0.210938,0.999756,-0.0150757,-0.00152588,-0.015625
2.00296,0.121094,1.14844,0.0273438,-0.0117188,0.00195312,0.0859375,0.999756,-0.0150757,-0.00152588,-0.015625
2.03004,0.121094,1.14844,0.0273438,0.00976562,-0.00195312,0.236328,0.999756,-0.0150757,-0.00152588,-0.015625
2.05754,0.121094,1.14844,0.0273438,-0.00585938,-0.00390625,0.152344,0.999756,-0.0150757,-0.00152588,-0.015625
2.08364,-0.113281,-0.765625,9.80859,-0.00585938,-0.00390625,0.152344,0.999756,-0.0150757,-0.00152588,-0.015625
2.11253,-0.113281,-0.765625,9.80859,0.00585938,0,0.105469,0.999756,-0.0150757,-0.00152588,-0.015625
2.13965,-0.191406,-0.496094,9.88281,0.00585938,0,0.105469,0.999756,-0.0150757,-0.00152588,-0.015625
2.16717,-0.191406,-0.496094,9.88281,-0.167969,0.0273438,0.207031,0.999756,-0.0150757,-0.00152588,-0.015625
2.19329,-0.0625,-0.222656,0.0273438,-0.167969,0.0273438,0.207031,0.999756,-0.0150757,-0.00152588,-0.015625
2.22183,-0.0625,-0.222656,0.0273438,-0.00585938,0.00585938,-0.0585938,0.999756,-0.0150757,-0.00152588,-0.015625
2.24901,0.152344,0.191406,10.0703,-0.00585938,0.00585938,-0.0585938,0.999756,-0.0150757,-0.00152588,-0.015625
2.27649,0.382812,0.535156,9.88672,-0.00585938,0.00585938,-0.0585938,0.999756,-0.0150757,-0.00152588,-0.015625
2.30252,0.382812,0.535156,9.88672,-0.00585938,0.00585938,-0.0585938,0.999512,-0.0220337,-0.00109863,-0.0232544
2.33105,0.382812,0.535156,9.88672,0,0.00195312,-0.0253906,0.999512,-0.0220337,-0.00109863,-0.0232544
2.3585,0.382812,0.535156,9.88672,-0.00585938,0.00390625,0.0507812,0.999512,-0.0220337,-0.00109863,-0.0232544
2.38603,0.113281,-0.460938,9.76562,-0.00585938,0.00390625,0.0507812,0.999512,-0.0220337,-0.00109863,-0.0232544
