t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0159128,-0.371094,0.00390625,0.382812,0,0,0,1,0,0,0
0.0446027,0.242188,0.15625,-0.1875,0,0,0,1,0,0,0
0.0704908,0.242188,0.15625,-0.1875,0.0175781,0.0136719,-0.078125,1,0,0,0
0.097072,-2.375,2.75781,9.26562,0.0175781,0.0136719,-0.078125,1,0,0,0
0.121811,1.20312,0.238281,0.53125,0.0175781,0.0136719,-0.078125,1,0,0,0
0.148894,1.20312,0.238281,0.53125,-0.248047,0.0429688,0.107422,1,0,0,0
0.174922,-2.71875,2.33594,8.3125,-0.248047,0.0429688,0.107422,1,0,0,0
0.203772,-2.71875,2.33594,8.3125,-0.0839844,-0.203125,0.0761719,1,0,0,0
0.230225,-2.60547,2.45312,9.19922,-0.0839844,-0.203125,0.0761719,1,0,0,0
0.257717,-3.14062,2.48828,9.53906,-0.0839844,-0.203125,0.0761719,1,0,0,0
0.283816,-0.00390625,0.078125,0.871094,-0.0839844,-0.203125,0.0761719,1,0,0,0
0.312345,-0.00390625,0.078125,0.871094,-0.193359,-0.314453,0.0625,1,0,0,0
0.33908,-2.26172,3.21875,9.19922,-0.193359,-0.314453,0.0625,1,0,0,0
0.365117,-1.95312,3.25781,8.88672,-0.193359,-0.314453,0.0625,1,0,0,0
0.393696,-2.375,3.14062,9.03906,-0.193359,-0.314453,0.0625,1,0,0,0
0.420776,-2.375,3.14062,9.03906,-0.359375,-0.378906,0.455078,1,0,0,0
0.448312,-2.375,3.14062,9.03906,-0.357422,-0.351562,0.396484,1,0,0,0
0.474398,-0.460938,0.585938,-0.636719,-0.357422,-0.351562,0.396484,1,0,0,0
0.50324,-0.460938,0.585938,-0.636719,-0.181641,-0.412109,0.462891,1,0,0,0
0.530407,-2.87109,2.22266,8.77344,-0.181641,-0.412109,0.462891,1,0,0,0
0.557956,-2.56641,2.67969,9.54297,-0.181641,-0.412109,0.462891,1,0,0,0
0.584487,-0.15625,0.386719,-0.429688,-0.181641,-0.412109,0.462891,1,0,0,0
0.612961,-0.15625,0.386719,-0.429688,-0.0390625,0.0429688,0.429688,1,0,0,0
0.640024,-0.15625,0.386719,-0.429688,0.0625,0.0820312,0.347656,1,0,0,0
0.667543,-1.99219,1.72266,9.65234,0.0625,0.0820312,0.347656,1,0,0,0
0.693935,-1.99219,1.72266,9.65234,-0.0976562,0.0175781,0.148438,1,0,0,0
0.722567,-0.84375,1.87891,9.38672,-0.0976562,0.0175781,0.148438,1,0,0,0
0.749702,-0.84375,1.87891,9.38672,0.111328,-0.0175781,0.0722656,1,0,0,0
0.77582,-0.84375,1.87891,9.38672,0.0507812,-0.171875,-0.0371094,1,0,0,0
0.804414,-0.84375,1.87891,9.38672,-0.078125,-0.320312,0.0839844,1,0,0,0
0.831528,-0.84375,1.87891,9.38672,-0.277344,-0.417969,0.322266,1,0,0,0
0.860024,-0.421875,1.57031,11.2617,-0.277344,-0.417969,0.322266,1,0,0,0
0.886119,-0.230469,1.99219,10.7656,-0.277344,-0.417969,0.322266,1,0,0,0
0.914092,-0.230469,1.99219,10.7656,-0.226562,-0.845703,-0.046875,1,0,0,0
0.94118,-0.230469,1.99219,10.7656,-0.226562,-0.923828,0.136719,1,0,0,0
0.969995,-0.230469,1.99219,10.7656,-0.246094,-0.982422,0.376953,1,0,0,0
0.996023,-0.351562,-0.113281,0.0859375,-0.246094,-0.982422,0.376953,1,0,0,0
1.02418,-0.351562,-0.113281,0.0859375,-0.277344,-0.992188,0.349609,1,0,0,0
1.05126,-0.765625,1.03516,9.34375,-0.277344,-0.992188,0.349609,1,0,0,0
1.07873,-0.765625,1.03516,9.34375,-0.103516,-0.798828,0.1875,1,0,0,0
