t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.0317973,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.0465693,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.0630241,-0.078125,-0.191406,9.72656,0,0,0,1,0,0,0
0.0790639,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.110045,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.148041,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.185381,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
0.208729,-0.078125,-0.191406,9.76953,0.00585938,0.00195312,0,1,0,0,0
0.237544,-0.078125,-0.191406,9.76953,0,-0.00195312,0,1,0,0,0
0.263576,0,0.00390625,-0.0195312,0,-0.00195312,0,1,0,0,0
0.291419,-0.0351562,0.00390625,-0.0585938,0,-0.00195312,0,1,0,0,0
0.318508,-0.0351562,0.00390625,-0.0585938,0.00195312,0,0,1,0,0,0
0.346614,-0.0351562,0.00390625,-0.0585938,-0.00195312,0,0,1,0,0,0
0.372677,-0.078125,-0.191406,9.76953,-0.00195312,0,0,1,0,0,0
0.401739,-0.078125,-0.191406,9.76953,-0.00390625,-0.00195312,0.00195312,1,0,0,0
0.428177,-0.078125,-0.191406,9.80859,-0.00390625,-0.00195312,0.00195312,1,0,0,0
0.455645,-0.078125,-0.191406,9.72656,-0.00390625,-0.00195312,0.00195312,1,0,0,0
0.481817,0.0078125,0.00390625,0.0117188,-0.00390625,-0.00195312,0.00195312,1,0,0,0
0.510327,0.0078125,0.00390625,0.0117188,-0.00585938,-0.00195312,0.00195312,1,0,0,0
0.537015,-0.191406,0.726562,9.72656,-0.00585938,-0.00195312,0.00195312,1,0,0,0
0.563062,0,-0.078125,9.76562,-0.00585938,-0.00195312,0.00195312,1,0,0,0
0.591658,0,-0.078125,9.76562,-0.0078125,-0.00195312,0.136719,1,0,0,0
0.618719,0,-0.078125,9.76562,-0.00390625,0,0.132812,1,0,0,0
0.646261,0,-0.078125,9.76562,-0.00195312,-0.00195312,-0.0683594,1,0,0,0
0.672303,-0.078125,0.078125,9.76562,-0.00195312,-0.00195312,-0.0683594,1,0,0,0
0.701155,-0.078125,0.078125,9.76562,-0.00390625,0,0.126953,1,0,0,0
0.728376,-0.152344,-0.078125,9.76562,-0.00390625,0,0.126953,1,0,0,0
0.756547,-0.0390625,0.382812,9.73047,-0.00390625,0,0.126953,1,0,0,0
0.782573,0.078125,-0.0273438,0.0117188,-0.00390625,0,0.126953,1,0,0,0
0.811076,0.078125,-0.0273438,0.0117188,-0.0078125,-0.00976562,0.0976562,1,0,0,0
0.838146,0.078125,-0.0273438,0.0117188,-0.00195312,0,0.0820312,1,0,0,0
0.865655,-0.078125,-0.496094,9.80469,-0.00195312,0,0.0820312,1,0,0,0
0.89173,-0.0273438,-0.3125,0.0117188,-0.00195312,0,0.0820312,1,0,0,0
0.920242,-0.0273438,-0.3125,0.0117188,0,0,0.148438,1,0,0,0
0.947287,-0.0273438,-0.3125,0.0117188,0.00390625,0.00390625,0.0683594,1,0,0,0
0.973338,-0.0273438,-0.3125,0.0117188,-0.00195312,0,0.0292969,1,0,0,0
1.00214,-0.0273438,-0.3125,0.0117188,0.00390625,0,-0.00195312,1,0,0,0
1.02933,-0.0273438,-0.3125,0.0117188,0.00390625,0.00195312,-0.0117188,1,0,0,0
1.05784,-0.113281,-0.191406,9.80859,0.00390625,0.00195312,-0.0117188,1,0,0,0
1.08387,-0.113281,-0.191406,9.72656,0.00390625,0.00195312,-0.0117188,1,0,0,0
1.11173,-0.0273438,-0.0429688,0.0117188,0.00390625,0.00195312,-0.0117188,1,0,0,0
1.1388,-0.0273438,-0.0429688,0.0117188,0.00390625,0,0,1,0,0,0
1.16627,-0.0273438,-0.0429688,0.0117188,-0.00195312,0.00195312,-0.00195312,1,0,0,0
1.19231,-0.078125,-0.191406,9.80859,-0.00195312,0.00195312,-0.00195312,1,0,0,0
1.22091,-0.113281,-0.191406,9.72656,-0.00195312,0.00195312,-0.00195312,1,0,0,0
1.24801,-0.078125,-0.191406,9.76953,-0.00195312,0.00195312,-0.00195312,1,0,0,0
1.27546,-0.078125,-0.191406,9.76953,-0.00390625,0,0,1,0,0,0
1.30177,-0.0273438,-0.0429688,0.0117188,-0.00390625,0,0,1,0,0,0
1.33055,-0.0273438,-0.0429688,0.0117188,0,0,0,1,0,0,0
1.35699,-0.078125,-0.191406,9.76953,0,0,0,1,0,0,0
1.38313,-0.113281,-0.191406,9.72656,0,0,0,1,0,0,0
1.41168,-0.113281,-0.191406,9.72656,-0.00195312,-0.00195312,0.00195312,1,0,0,0
1.43875,-0.113281,-0.191406,9.72656,0,0,-0.00195312,1,0,0,0
1.4669,-0.113281,-0.191406,9.72656,0.00195312,0,-0.00195312,1,0,0,0
1.49303,-0.113281,-0.152344,9.73047,0.00195312,0,-0.00195312,1,0,0,0
1.52144,-0.113281,-0.152344,9.73047,-0.00195312,0,0,1,0,0,0
1.5485,-0.078125,-0.191406,9.76953,-0.00195312,0,0,1,0,0,0
1.57662,-0.078125,-0.191406,9.76953,-0.00390625,0,0,1,0,0,0
1.60266,0.0234375,-0.00390625,-0.0351562,-0.00390625,0,0,1,0,0,0
1.63122,0.0234375,-0.00390625,-0.0351562,-0.0136719,0.00195312,0.0507812,1,0,0,0
1.65862,0.0234375,-0.00390625,-0.0351562,0,0.00195312,-0.0371094,1,0,0,0
1.68678,-0.113281,0.191406,9.72656,0,0.00195312,-0.0371094,1,0,0,0
1.71295,-0.078125,-0.113281,9.76562,0,0.00195312,-0.0371094,1,0,0,0
1.74149,-0.078125,-0.113281,9.76562,0,-0.00195312,0.00976562,1,0,0,0
1.76854,-0.078125,-0.113281,9.76562,-0.00390625,0,0.0839844,1,0,0,0
1.79663,-0.078125,-0.113281,9.76562,0,0,0.0332031,1,0,0,0
1.82266,0.0625,0.148438,0.0429688,0,0,0.0332031,1,0,0,0
1.85106,0.0625,0.148438,0.0429688,-0.00390625,0,0.078125,1,0,0,0
1.87813,-0.152344,0.0390625,9.76562,-0.00390625,0,0.078125,1,0,0,0
1.9056,-0.191406,0.191406,9.76562,-0.00390625,0,0.078125,1,0,0,0
1.93201,-0.0898438,0.21875,0.00390625,-0.00390625,0,0.078125,1,0,0,0
1.96051,-0.0898438,0.21875,0.00390625,0,0,0.173828,1,0,0,0
1.98727,-0.269531,-0.191406,9.72656,0,0,0.173828,1,0,0,0
2.0133,-0.113281,-0.078125,9.76562,0,0,0.173828,1,0,0,0
2.0584,-0.113281,-0.078125,9.76562,0.00390625,0.00195312,-0.0136719,1,0,0,0
2.0823,-0.113281,-0.078125,9.76562,-0.00195312,0.00195312,-0.136719,1,0,0,0
2.11023,0.0625,-0.378906,0.00390625,-0.00195312,0.00195312,-0.136719,1,0,0,0
2.13737,0.0625,-0.378906,0.00390625,0,-0.00195312,-0.152344,1,0,0,0
2.16489,0.0625,-0.378906,0.00390625,0,0,0.00195312,1,0,0,0
2.19125,0.0625,-0.378906,0.00390625,0,0,0.00195312,0.999512,-0.00823975,0.00488281,0.0291138
2.21965,0.0625,-0.378906,0.00390625,0.00585938,0,-0.0878906,0.999512,-0.00823975,0.00488281,0.0291138
2.24676,-0.078125,-0.765625,9.76953,0.00585938,0,-0.0878906,0.999512,-0.00823975,0.00488281,0.0291138
2.2728,0.078125,-0.230469,9.76953,0.00585938,0,-0.0878906,0.999512,-0.00823975,0.00488281,0.0291138
2.3013,0.078125,-0.230469,9.76953,0,-0.00195312,0.0429688,0.999512,-0.00823975,0.00488281,0.0291138
2.32837,0.078125,-0.230469,9.76953,0,0,-0.0390625,0.999512,-0.00823975,0.00488281,0.0291138
2.35586,0.078125,-0.230469,9.76953,0.00195312,-0.00195312,-0.109375,0.999512,-0.00823975,0.00488281,0.0291138
2.38196,0.0625,-0.121094,0.0117188,0.00195312,-0.00195312,-0.109375,0.999512,-0.00823975,0.00488281,0.0291138
2.41093,0.0625,-0.121094,0.0117188,0.00390625,-0.00195312,-0.115234,0.999512,-0.00823975,0.00488281,0.0291138
2.43807,-0.113281,-0.191406,9.76953,0.00390625,-0.00195312,-0.115234,0.999512,-0.00823975,0.00488281,0.0291138
2.46554,-0.113281,-0.191406,9.76953,-0.00390625,-0.00195312,0.0390625,0.999512,-0.00823975,0.00488281,0.0291138
2.4921,-0.0117188,-0.0820312,0.0507812,-0.00390625,-0.00195312,0.0390625,0.999512,-0.00823975,0.00488281,0.0291138
2.52061,-0.0117188,-0.0820312,0.0507812,-0.00585938,0,0.173828,0.999512,-0.00823975,0.00488281,0.0291138
2.54755,-0.230469,-0.191406,9.76562,-0.00585938,0,0.173828,0.999512,-0.00823975,0.00488281,0.0291138
2.5736,-0.113281,-0.382812,9.76562,-0.00585938,0,0.173828,0.999512,-0.00823975,0.00488281,0.0291138
2.6015,-0.113281,-0.382812,9.76562,0,-0.00195312,0.0664062,0.999512,-0.00823975,0.00488281,0.0291138
2.62857,-0.113281,-0.382812,9.76562,0,-0.00195312,0.105469,0.999512,-0.00823975,0.00488281,0.0291138
2.65675,-0.113281,-0.382812,9.76562,-0.00195312,0,0.0214844,0.999512,-0.00823975,0.00488281,0.0291138
2.68278,0.0234375,-0.121094,-0.0273438,-0.00195312,0,0.0214844,0.999512,-0.00823975,0.00488281,0.0291138
2.71178,0.0234375,-0.121094,-0.0273438,0.00585938,0,0.0625,0.999512,-0.00823975,0.00488281,0.0291138
2.73897,-0.152344,-0.0390625,9.73047,0.00585938,0,0.0625,0.999512,-0.00823975,0.00488281,0.0291138
2.76645,-0.113281,-0.304688,9.72656,0.00585938,0,0.0625,0.999512,-0.00823975,0.00488281,0.0291138
2.7925,-0.113281,-0.382812,9.76562,0.00585938,0,0.0625,0.999512,-0.00823975,0.00488281,0.0291138
2.821,-0.113281,-0.382812,9.76562,-0.00390625,-0.00195312,0.0664062,0.999512,-0.00823975,0.00488281,0.0291138
2.84821,-0.113281,-0.382812,9.76562,-0.00390625,0,0.113281,0.999512,-0.00823975,0.00488281,0.0291138
2.87641,-0.0390625,-0.382812,9.80469,-0.00390625,0,0.113281,0.999512,-0.00823975,0.00488281,0.0291138
2.9025,0.101562,-0.15625,-0.00390625,-0.00390625,0,0.113281,0.999512,-0.00823975,0.00488281,0.0291138
