t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.033484,0.0390625,-0.230469,9.76953,0,0,0,1,0,0,0
0.0476573,0.0390625,-0.230469,9.76953,0,0,0,1,0,0,0
0.0637103,0,-0.230469,9.72656,0,0,0,1,0,0,0
0.0790734,0.0390625,-0.230469,9.76953,0,0,0,1,0,0,0
0.110745,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.14591,0.0390625,-0.191406,9.72656,0.00390625,0,0,1,0,0,0
0.185854,0.0390625,-0.191406,9.72656,0,0,0,1,0,0,0
0.20589,0.0390625,-0.191406,9.72656,0.00390625,0,-0.00195312,1,0,0,0
0.230496,0.0390625,-0.191406,9.72656,-0.00195312,-0.00195312,0.00195312,1,0,0,0
0.260734,0.0390625,-0.191406,9.72656,0.00195312,0.00195312,0,1,0,0,0
0.286368,0.0390625,-0.191406,9.72656,0.00390625,0.00390625,-0.00390625,1,0,0,0
0.312408,0.0390625,-0.191406,9.72656,0,0.00195312,-0.00390625,1,0,0,0
0.341202,0.0390625,-0.191406,9.72656,0.00195312,0,-0.0507812,1,0,0,0
0.368036,0.0390625,-0.230469,9.72656,0.00195312,0,-0.0507812,1,0,0,0
0.396821,0.0390625,-0.230469,9.72656,0.00195312,0,-0.0507812,1,0,0,0
0.422849,0.0390625,-0.230469,9.72656,0.00195312,0,-0.0507812,0.999939,-0.0100098,-0.00195312,-0.000610352
0.451375,0.0390625,-0.230469,9.72656,0,0,0.00195312,0.999939,-0.0100098,-0.00195312,-0.000610352
0.478448,0.0390625,-0.230469,9.72656,0,0,-0.00195312,0.999939,-0.0100098,-0.00195312,-0.000610352
0.505928,0.078125,-0.304688,9.72656,0,0,-0.00195312,0.999939,-0.0100098,-0.00195312,-0.000610352
0.531959,0.0390625,-0.84375,9.76562,0,0,-0.00195312,0.999939,-0.0100098,-0.00195312,-0.000610352
0.559844,-0.078125,-0.765625,9.72656,0,0,-0.00195312,0.999939,-0.0100098,-0.00195312,-0.000610352
0.586955,-0.078125,-0.765625,9.72656,0.00585938,0,-0.310547,0.999939,-0.0100098,-0.00195312,-0.000610352
0.612991,-0.078125,-0.765625,9.72656,0.00195312,0,-0.308594,0.999939,-0.0100098,-0.00195312,-0.000610352
0.641503,-0.078125,-0.765625,9.72656,0.00390625,0,-0.347656,0.999939,-0.0100098,-0.00195312,-0.000610352
0.668787,-0.078125,-0.765625,9.72656,0.00390625,0.00195312,-0.234375,0.999939,-0.0100098,-0.00195312,-0.000610352
0.697422,0.078125,0.113281,9.76562,0.00390625,0.00195312,-0.234375,0.999939,-0.0100098,-0.00195312,-0.000610352
0.723539,0,0.078125,9.76562,0.00390625,0.00195312,-0.234375,0.999939,-0.0100098,-0.00195312,-0.000610352
0.751454,0,0.078125,9.76562,-0.00195312,0,-0.0117188,0.999939,-0.0100098,-0.00195312,-0.000610352
0.7785,0,0.078125,9.76562,-0.00195312,0.00195312,0.134766,0.999939,-0.0100098,-0.00195312,-0.000610352
0.806015,0,0.078125,9.76562,0.00390625,0.00195312,0.046875,0.999939,-0.0100098,-0.00195312,-0.000610352
0.832126,-0.0390625,-0.113281,9.76562,0.00390625,0.00195312,0.046875,0.999939,-0.0100098,-0.00195312,-0.000610352
0.861014,-0.0390625,-0.113281,9.76562,0.00195312,0,-0.0664062,0.999939,-0.0100098,-0.00195312,-0.000610352
0.888177,0.078125,-0.230469,9.80859,0.00195312,0,-0.0664062,0.999939,-0.0100098,-0.00195312,-0.000610352
0.915672,0.078125,-0.230469,9.80859,0,0,0.0332031,0.999939,-0.0100098,-0.00195312,-0.000610352
0.941771,-0.046875,0.167969,-0.0195312,0,0,0.0332031,0.999939,-0.0100098,-0.00195312,-0.000610352
0.970246,-0.046875,0.167969,-0.0195312,0.00390625,-0.00195312,-0.0195312,0.999939,-0.0100098,-0.00195312,-0.000610352
0.997431,0.0390625,-0.230469,9.80859,0.00390625,-0.00195312,-0.0195312,0.999939,-0.0100098,-0.00195312,-0.000610352
1.02491,0.113281,0.078125,9.76562,0.00390625,-0.00195312,-0.0195312,0.999939,-0.0100098,-0.00195312,-0.000610352
1.05142,0.113281,0.078125,9.76562,0.00390625,-0.00195312,-0.0195312,0.999695,-0.0117798,-0.00201416,-0.0204468
1.07992,0.113281,0.078125,9.76562,0.00195312,-0.00195312,0.00976562,0.999695,-0.0117798,-0.00201416,-0.0204468
1.10709,0.113281,0.078125,9.76562,-0.00195312,0,-0.00585938,0.999695,-0.0117798,-0.00201416,-0.0204468
1.13459,0.0390625,-0.078125,9.73047,-0.00195312,0,-0.00585938,0.999695,-0.0117798,-0.00201416,-0.0204468
1.16105,0.0390625,-0.078125,9.73047,0,0.00195312,0.0644531,0.999695,-0.0117798,-0.00201416,-0.0204468
1.18957,0,0.0390625,9.76562,0,0.00195312,0.0644531,0.999695,-0.0117798,-0.00201416,-0.0204468
1.21671,-0.0390625,-0.535156,9.80469,0,0.00195312,0.0644531,0.999695,-0.0117798,-0.00201416,-0.0204468
1.24274,-0.0390625,-0.535156,9.80469,0.00195312,0,0.0917969,0.999695,-0.0117798,-0.00201416,-0.0204468
1.27129,-0.0390625,-0.535156,9.80469,0.00195312,0,0.0078125,0.999695,-0.0117798,-0.00201416,-0.0204468
1.29834,-0.0390625,-0.535156,9.80469,0,0,0.0488281,0.999695,-0.0117798,-0.00201416,-0.0204468
1.32585,0.078125,0.113281,9.73047,0,0,0.0488281,0.999695,-0.0117798,-0.00201416,-0.0204468
1.35204,0,-0.015625,0.0117188,0,0,0.0488281,0.999695,-0.0117798,-0.00201416,-0.0204468
1.38054,0,-0.015625,0.0117188,0.0078125,0.00195312,-0.126953,0.999695,-0.0117798,-0.00201416,-0.0204468
1.40759,0,-0.015625,0.0117188,-0.00195312,0,-0.0859375,0.999695,-0.0117798,-0.00201416,-0.0204468
1.43362,0,-0.015625,0.0117188,0,0,-0.132812,0.999695,-0.0117798,-0.00201416,-0.0204468
1.46241,0,-0.015625,0.0117188,0,0.00195312,-0.130859,0.999695,-0.0117798,-0.00201416,-0.0204468
1.48905,0.078125,-0.078125,9.76562,0,0.00195312,-0.130859,0.999695,-0.0117798,-0.00201416,-0.0204468
1.51761,0,-0.613281,9.76562,0,0.00195312,-0.130859,0.999695,-0.0117798,-0.00201416,-0.0204468
1.54368,0.078125,-0.113281,9.76562,0,0.00195312,-0.130859,0.999695,-0.0117798,-0.00201416,-0.0204468
