t,ax,ay,az,gx,gy,gz,qw,qi,qj,qk
0.18418,0,-0.421875,9.6875,0,0.00195312,-0.00195312,1,0,0,0
0.206315,0,-0.382812,9.69141,0,0.00195312,-0.00195312,1,0,0,0
0.230958,0,-0.382812,9.69141,-0.00195312,0,0.00195312,1,0,0,0
0.260881,0,-0.382812,9.69141,0,0.00195312,0,1,0,0,0
0.285193,0,-0.382812,9.69141,0.00195312,0.00195312,0,1,0,0,0
0.310068,0,-0.382812,9.69141,0,0.00195312,0,1,0,0,0
0.336641,0,-0.382812,9.69141,0,0.00195312,0.00195312,1,0,0,0
0.361311,0,-0.382812,9.69141,0,0.00195312,0.00195312,1,0,0,0
0.389786,0,-0.382812,9.69141,-0.00195312,0.00195312,0,1,0,0,0
0.416845,0,-0.382812,9.69141,0.00195312,0.00195312,0,1,0,0,0
0.444343,0,-0.382812,9.69141,0.00195312,0.00195312,0,1,0,0,0
0.470789,0,-0.382812,9.69141,0,0,-0.00195312,1,0,0,0
0.498953,0,-0.382812,9.69141,-0.00195312,0,0,1,0,0,0
0.525649,0,-0.382812,9.69141,-0.00195312,0,0,1,0,0,0
0.551706,-0.0390625,-0.382812,9.73047,-0.00195312,0,0,1,0,0,0
0.580232,-0.0390625,-0.382812,9.73047,-0.00195312,0,-0.00195312,1,0,0,0
0.607336,-0.0390625,-0.382812,9.73047,-0.00195312,0.00195312,-0.00195312,1,0,0,0
0.634865,0,-0.34375,9.73047,-0.00195312,0.00195312,-0.00195312,1,0,0,0
0.661452,0,-0.34375,9.73047,0,-0.00195312,0,1,0,0,0
0.690099,0,-0.34375,9.73047,0,0,0,1,0,0,0
0.717256,0,-0.34375,9.73047,0.00195312,0.00195312,0,1,0,0,0
0.74484,0,-0.34375,9.73047,-0.00195312,0,0,1,0,0,0
0.771755,0,-0.34375,9.73047,-0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.79837,0,-0.34375,9.73047,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.823825,-0.0390625,-0.34375,9.73047,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.850376,0.015625,-0.0078125,-0.0195312,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.876053,0.015625,-0.0078125,-0.0195312,0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.89722,-0.0390625,-0.34375,9.69141,0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.91712,-0.0390625,-0.34375,9.69141,0,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.937244,-0.0390625,-0.34375,9.69141,0.00195312,0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.956409,-0.0390625,-0.34375,9.69141,0.00195312,0.00195312,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.976444,-0.0390625,-0.34375,9.69141,0,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
0.996516,-0.0390625,-0.34375,9.69141,0,-0.00195312,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.01573,-0.0390625,-0.34375,9.69141,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.03578,-0.0390625,-0.34375,9.69141,0.00195312,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.05583,-0.0390625,-0.34375,9.69141,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.07508,-0.0390625,-0.34375,9.69141,-0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.09512,-0.0390625,-0.34375,9.69141,-0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.11447,-0.0390625,-0.34375,9.69141,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.13489,-0.0390625,-0.34375,9.69141,0,0.00390625,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.15403,-0.0390625,-0.34375,9.69141,0,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.17451,0,-0.382812,9.73047,0,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.19471,0,-0.382812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.21417,0,-0.382812,9.73047,-0.00195312,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.23461,0,-0.382812,9.73047,-0.00195312,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.25391,0,-0.382812,9.73047,-0.00390625,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.27438,0,-0.382812,9.73047,-0.00390625,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.29489,0,-0.382812,9.73047,0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.31406,0,-0.382812,9.73047,0,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.33454,0,-0.382812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.35472,0,-0.382812,9.73047,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.37388,0,-0.382812,9.73047,0,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.3943,0,-0.382812,9.73047,0,-0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.41386,0,-0.382812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.43428,0,-0.382812,9.73047,0,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.45475,0,-0.382812,9.73047,0,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.47395,0,-0.382812,9.73047,0,0,-0.00390625,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.49439,0,-0.382812,9.73047,0.00195312,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.51396,0,-0.382812,9.73047,0.00195312,-0.00195312,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.53441,-0.0390625,-0.382812,9.73047,0.00195312,-0.00195312,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.55492,-0.0390625,-0.382812,9.73047,0.00195312,0,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.57464,-0.0390625,-0.382812,9.73047,0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.59479,-0.0390625,-0.382812,9.73047,-0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.61393,-0.0390625,-0.382812,9.73047,0,-0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.63436,-0.0390625,-0.382812,9.73047,0.00195312,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.6549,-0.0390625,-0.382812,9.73047,0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.67449,-0.0390625,-0.382812,9.73047,-0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.69492,-0.0390625,-0.382812,9.73047,0.00195312,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.71408,-0.0390625,-0.382812,9.73047,0,0,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.73459,-0.0390625,-0.382812,9.73047,0.00390625,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.75477,-0.0390625,-0.382812,9.73047,0,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.7745,-0.0390625,-0.382812,9.73047,0.00390625,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.79495,-0.0390625,-0.382812,9.73047,0,-0.251953,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.81408,-0.0390625,-0.382812,9.73047,0,-0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.83455,-0.0390625,-0.34375,9.73047,0,-0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.85474,-0.0390625,-0.34375,9.73047,-0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.87392,-0.0390625,-0.34375,9.73047,-0.00390625,0,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.89434,-0.0390625,-0.34375,9.73047,0.00195312,0,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.91382,-0.0390625,-0.34375,9.73047,-0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.93434,0,-0.882812,9.73047,-0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.95493,0,-0.882812,9.73047,0.00195312,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.97425,0,-0.882812,9.73047,-0.00195312,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
1.99475,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.01487,0,-0.882812,9.73047,0,0,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.034,0,-0.882812,9.73047,0.00195312,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.05443,0,-0.882812,9.73047,-0.00390625,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.07406,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.09451,0,-0.882812,9.73047,-0.00195312,-0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.11474,0,-0.882812,9.73047,0,0,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.13391,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.15462,0,-0.882812,9.73047,0.00195312,0,-0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.17394,0,-0.882812,9.73047,0,0.00195312,0.00195312,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.19442,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.21493,0,-0.882812,9.73047,0.00195312,0.00195312,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.23419,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.25473,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
2.27403,0,-0.882812,9.73047,0,0,0,0.999817,-0.0205688,0.000244141,-6.10352e-05
